City,Super Category (P0),Category (P1),Sub Category (P2),SKU ID,Image,Brand,SKU Name,SKU Size,MRP,SP,Link,Active?,Out of Stock?
Bangalore,Fruits & Vegetables,fruits-vegetables,"Potato, Onion & Tomato",10000148,https://www.bigbasket.com/media/uploads/p/s/10000148_30-fresho-onion.jpg,Fresho,Onion (Loose),1 kg,31.58,24.00,https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Potato, Onion & Tomato",10000159,https://www.bigbasket.com/media/uploads/p/s/10000159_27-fresho-potato.jpg,Fresho,Potato,1 kg,36.84,28.00,https://www.bigbasket.com/pd/10000159/fresho-potato-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Root Vegetables,10000071,https://www.bigbasket.com/media/uploads/p/s/10000071_14-fresho-carrot-orange.jpg,Fresho,Carrot - Orange (Loose),250 g,13.82,0.04,https://www.bigbasket.com/pd/10000071/fresho-carrot-orange-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Potato, Onion & Tomato",10000201,https://www.bigbasket.com/media/uploads/p/s/10000201_15-fresho-tomato-hybrid.jpg,Fresho,Tomato - Hybrid (Loose),500 g,12.50,0.02,https://www.bigbasket.com/pd/10000201/fresho-tomato-hybrid-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Potato, Onion & Tomato",10000203,https://www.bigbasket.com/media/uploads/p/s/10000203_16-fresho-tomato-local.jpg,Fresho,Tomato - Local (Loose),1 kg,17.11,13.00,https://www.bigbasket.com/pd/10000203/fresho-tomato-local-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Beans, Brinjals & Okra",10000143,https://www.bigbasket.com/media/uploads/p/s/10000143_14-fresho-ladies-finger.jpg,Fresho,Ladies' Fingers (Loose),250 g,13.16,0.04,https://www.bigbasket.com/pd/10000143/fresho-ladies-finger-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cabbage & Cauliflower,10000074,https://www.bigbasket.com/media/uploads/p/s/10000074_19-fresho-cauliflower.jpg,Fresho,Cauliflower,1 pc,38.16,29.00,https://www.bigbasket.com/pd/10000074/fresho-cauliflower-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cucumber & Capsicum,10000068,https://www.bigbasket.com/media/uploads/p/s/10000068_22-fresho-capsicum-green.jpg,Fresho,Capsicum - Green (Loose),250 g,19.74,0.06,https://www.bigbasket.com/pd/10000068/fresho-capsicum-green-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cucumber & Capsicum,10000102,https://www.bigbasket.com/media/uploads/p/s/10000102_17-fresho-cucumber.jpg,Fresho,Cucumber (Loose),1 kg,42.11,32.00,https://www.bigbasket.com/pd/10000102/fresho-cucumber-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Indian & Exotic Herbs,10000098,https://www.bigbasket.com/media/uploads/p/s/10000098_9-fresho-coriander-leaves.jpg,Fresho,Coriander Leaves,250 g,62.50,0.19,https://www.bigbasket.com/pd/10000098/fresho-coriander-leaves-250-g/,-,-
